pk,sk,assigned_cohort,fee,status_code,status,accept_reject_date,amount_to_be_paid,transaction_id,payment_status,i_agree_to_terms_and_conditions_of_global_shala,modified_at,apply_date,accept_reject_reason,category,not_started_date,cohort_p2,cohort_p1,team_name,team_code,application_id,i_have_read_and_agreed_to_the_terms_and_conditions,send_for_approval_mechanism_t_c,i_understand_that_i_will_have_to_commit_at_least56_hours_each_w,why_do_you_want_to_apply_for_this_internship,created_at,created_month,created_quarter,external_reference_url,work_item_sk,i_understand_that_this_is_the_first_step_towards_my_application,how_did_you_hear_about_this_opportunity,can_you_share_an_experience_where_you_proactively_pursued_learn,dropped_out_date,appear_in_wishlist
Learner#918e4595-2982-4de5-9bcb-eb1137fa4495,Learner#000000000G83249B39FZSAS08X,B378279,,1080,Started,,$0.00,,unpaid,TRUE,1/1/1970,1/18/2023,,,,,B378279,,,,,,,,10/10/2023,October,Q4,,,,,,,
Learner#7135e838-f314-4c28-89df-d275c2b60603,Learner#000000000G83249B39FZSAS08X,B378279,,1080,Started,,$0.00,,unpaid,TRUE,1/1/1970,2/3/2023,,,,,B378279,,,,,,,,10/18/2023,October,Q4,,,,,,,
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#000000000G83249B39FZSAS08X,,,1010,Applied,,$0.00,,unpaid,TRUE,2/22/2023,2/22/2023,,,,,B378279,,,,,,,,11/3/2023,November,Q4,,,,,,,
Learner#3cacb4d5-6e17-48b2-b7a1-09b91462bc6f,Learner#000000000G83249B39FZSAS08X,,,1010,Applied,,$0.00,,unpaid,TRUE,1/1/1970,9/14/2022,,,,,,,,,,,,,11/6/2023,November,Q4,,,,,,,
Learner#8558d6d0-729a-4b6a-8fcf-380d163e2eca,Learner#000000000G83249B39FZSAS08X,B378279,,1080,Started,,$0.00,,unpaid,TRUE,1/1/1970,1/10/2023,,,,,B378279,,,,,,,,12/26/2023,December,Q4,,,,,,,
Learner#72d530e5-edca-40e6-b47f-1c1ddf06b4bf,Learner#000000000G83249B39FZSAS08X,,,1080,Started,#VALUE!,$0.00,,unpaid,TRUE,1/1/1970,9/14/2022,,,,,,,,,,,,,2/9/2024,February,Q1,,,,,,,
Learner#3f8524b6-0c32-476c-9468-86e9f58855f3,Learner#000000000G83249B39FZSAS08X,,$0.00,1080,Started,,$0.00,,,TRUE,1/1/1970,9/8/2022,,Course,,,,,,,,,,,2/27/2024,February,Q1,,,,,,,
Learner#6c82039f-8065-4837-b0b1-f69d517ec18b,Learner#000000000G83249B39FZSAS08X,B378279,,1080,Started,#VALUE!,$0.00,,unpaid,TRUE,1/1/1970,2/22/2023,kk,,,,B378279,,,,,,,,3/1/2024,March,Q1,,,,,,,
Learner#f3067028-feee-473a-8003-b114aa305ce3,Learner#000000000G83249B39FZSAS08X,,,1010,Applied,,$0.00,,unpaid,TRUE,1/1/1970,2/22/2023,,,,,B378279,,,,,,,,4/20/2024,April,Q2,,,,,,,
Learner#8efb306b-12e0-4386-9ef7-30d134ee18d0,Learner#000000000G83249B39FZSAS08X,B378279,,1080,Started,,$0.00,,unpaid,TRUE,1/1/1970,1/28/2023,,,,,B378279,,,,,,,,6/6/2024,June,Q2,,,,,,,
Learner#838ff3db-f3de-4ae4-9c06-29632039ad2c,Learner#000000000G83249B39FZSAS08X,B378279,,1050,Dropped,#VALUE!,$0.00,,unpaid,TRUE,3/1/2023,2/23/2023,Testing,,,,B378279,,,,,,,,9/25/2024,September,Q3,,,,,,3/1/2023,
Learner#7d3a9e43-8b49-497e-b92f-c74a378f8067,Learner#000000000G83249B39FZSAS08X,,,1010,Applied,,$0.00,,unpaid,TRUE,1/1/1970,2/22/2023,,,,,B378279,,,,,,,,12/23/2024,December,Q4,,,,,,,
Learner#47c66659-2f9b-4309-943b-99670178caff,Learner#000000000G83249B39FZSAS08X,,,1010,Applied,,$0.00,,unpaid,TRUE,3/21/2023,3/21/2023,,,,,B378279,,,,,,,,3/28/2025,March,Q1,,,,,,,
Learner#1c18f3e9-b924-437f-ac54-be0ff6969732,Learner#000000000G83249B39FZSAS08X,B378279,,1080,Started,#VALUE!,$0.00,,unpaid,TRUE,3/13/2023,3/13/2023,testing,,,,B378279,,,,,,,,3/31/2025,March,Q1,,,,,,,
Learner#f92cd832-773d-424b-a95a-37cf4c892a35,Learner#000000000G83249B39FZSAS08X,,$0.00,1030,Rejected,,$0.00,,unpaid,TRUE,1/1/1970,8/8/2022,,Course,,,,,,,,,,,5/30/2025,May,Q2,,,,,,,
Learner#f2264b08-2614-4855-bd6a-984525b7e70e,Learner#000000000G83249B39FZSAS08X,,,1010,Applied,,$0.00,,unpaid,TRUE,1/1/1970,2/6/2023,,,,,B378279,,,,,,,,1/29/2026,January,Q1,,,,,,,
Learner#3cacb4d5-6e17-48b2-b7a1-09b91462bc6f,Learner#000000000G8Z9ZW7B36BVHVHC5,B803269,,1110,Withdraw,#VALUE!,$0.00,,unpaid,,3/24/2023,3/24/2023,This is an auto approved opportunity,,,B803269,B495891,,,,TRUE,,,Testing,7/21/2023,July,Q3,,,,,,,
Learner#2f958f15-8e19-44e1-b54b-acd6ed6f0118,Learner#000000000G8Z9ZW7B36BVHVHC5,B803269,,1110,Withdraw,,$0.00,,unpaid,,1/3/2024,1/25/2023,Test update ref properties1701325540929Test update ref properties1702887638152Test update ref properties1702912167036,,,,B803269,,,,TRUE,,,Testing internships apply,8/8/2023,August,Q3,,,,,,,
Learner#6c82039f-8065-4837-b0b1-f69d517ec18b,Learner#000000000G8Z9ZW7B36BVHVHC5,B495891,,1070,Team Allocated,#VALUE!,$0.00,,unpaid,,3/1/2023,3/1/2023,This is an auto approved opportunity,,,B803269,B495891,,,,TRUE,,,fsdg,,,,,,,,,,
Learner#09f8a324-2db8-4fed-b6c9-fa1e19f1d69e,Learner#000000000G8Z9ZW7B36BVHVHC5,B338530,,1010,Applied,,$0.00,,unpaid,,1/1/1970,9/21/2022,,,,,B338530,,,,TRUE,,,lkm,8/23/2023,August,Q3,,,,,,,
Learner#838ff3db-f3de-4ae4-9c06-29632039ad2c,Learner#000000000G8Z9ZW7B36BVHVHC5,,,1030,Rejected,2/23/2023,$0.00,,unpaid,,1/1/1970,2/23/2023,testing,,,B803269,B495891,,,,TRUE,,,Testing internships apply,10/12/2023,October,Q4,,,,,,,
Learner#78a25165-3e57-4159-9e78-c0d5566ffb94,Learner#000000000G8Z9ZW7B36BVHVHC5,B495891,,1070,Team Allocated,#VALUE!,$0.00,,unpaid,,4/3/2023,4/3/2023,This is an auto approved opportunity,,,B803269,B495891,,,,TRUE,,,Learn,10/31/2023,October,Q4,,,,,,,
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#000000000G8Z9ZW7B36BVHVHC5,B803269,,1110,Withdraw,#VALUE!,$0.00,,unpaid,,2/22/2023,2/22/2023,This is an auto approved opportunity,,,B803269,B495891,,,,TRUE,,,Learn,11/2/2023,November,Q4,,,,,,,
Learner#8558d6d0-729a-4b6a-8fcf-380d163e2eca,Learner#000000000G8Z9ZW7B36BVHVHC5,B495891,,1070,Team Allocated,,$0.00,,unpaid,,1/1/1970,1/10/2023,,,,B803269,B495891,,,,TRUE,,,et,11/5/2023,November,Q4,,,,,,,
Learner#1c18f3e9-b924-437f-ac54-be0ff6969732,Learner#000000000G8Z9ZW7B36BVHVHC5,B495891,,1120,Rewards,,$0.00,,unpaid,,1/1/1970,1/16/2023,,,,B803269,B495891,,,,TRUE,,,Learning,,,,,,,,,,
Learner#e59e19bf-c8eb-434a-afe5-4850fc141563,Learner#000000000G8Z9ZW7B36BVHVHC5,B495891,,1070,Team Allocated,4/12/2023,$10.00,pi_3Mw1D9HbktQoRPOz1dB7JC1u,paid,,4/12/2023,4/12/2023,This is an auto approved opportunity,,,B338530,B495891,,,,TRUE,,,I do have relevant skills and I wanted to work as a project manager,2/27/2024,February,Q1,,,,,,,
Learner#e84aea65-34d3-440a-bf04-f877d3bc5ce2,Learner#000000000G8Z9ZW7B36BVHVHC5,B495891,,1120,Rewards,5/16/2023,$10.00,pi_3N9RNlHbktQoRPOz03QqNyCe,paid,,5/19/2023,5/16/2023,This is an auto approved opportunity,,,B338530,B495891,,,,TRUE,,,testing,4/12/2024,April,Q2,,,,,,,
Learner#79bac6f6-bee2-4169-a792-fff5b29c5b12,Learner#000000000G8Z9ZW7B36BVHVHC5,B803269,,1110,Withdraw,#VALUE!,$0.00,,unpaid,,3/9/2023,3/9/2023,This is an auto approved opportunity,,,B495891,B803269,,,,TRUE,,,trewf,4/20/2024,April,Q2,,,,,,,
Learner#83f610d8-ee56-4b7c-a97f-ce9163f776e2,Learner#000000000G8Z9ZW7B36BVHVHC5,B803269,,1120,Rewards,#VALUE!,$0.00,,unpaid,,3/23/2023,3/23/2023,This is an auto approved opportunity,,,B803269,B495891,,,,TRUE,,,Testing,5/1/2024,May,Q2,,,,,,,
Learner#d07b9104-e428-4d10-9f89-b5b0cbfee33d,Learner#000000000G8Z9ZW7B36BVHVHC5,,,1010,Applied,,$0.00,,unpaid,,2/21/2023,2/21/2023,,,,B803269,B495891,,,,TRUE,,,I do have relevant skills and I wanted to work as a project manager,5/2/2024,May,Q2,,,,,,,
Learner#4e833f6f-32da-41ba-9f41-66cef6d36d31,Learner#000000000G8Z9ZW7B36BVHVHC5,B495891,,1070,Team Allocated,,$0.00,,unpaid,,1/1/1970,1/27/2023,,,,B803269,B495891,,,,TRUE,,,Testing internships apply,5/24/2024,May,Q2,,,,,,,
Learner#47c66659-2f9b-4309-943b-99670178caff,Learner#000000000G8Z9ZW7B36BVHVHC5,B495891,,1070,Team Allocated,#VALUE!,$0.00,,unpaid,,3/21/2023,3/21/2023,This is an auto approved opportunity,,,B803269,B495891,,,,TRUE,,,Testing internships apply,5/28/2024,May,Q2,,,,,,,
Learner#b20d1870-25e8-4b99-b783-58a358cbba74,Learner#000000000G8Z9ZW7B36BVHVHC5,B495891,,1070,Team Allocated,,$0.00,,unpaid,,1/1/1970,2/7/2023,,,,B803269,B495891,,,,TRUE,,,dasd,6/25/2024,June,Q2,,,,,,,
Learner#918e4595-2982-4de5-9bcb-eb1137fa4495,Learner#000000000G8Z9ZW7B36BVHVHC5,B803269,,1070,Team Allocated,,$0.00,,unpaid,,1/1/1970,1/27/2023,,,,,B803269,,,,TRUE,,,Testing internships apply,,,,,,,,,,
Learner#7d3a9e43-8b49-497e-b92f-c74a378f8067,Learner#000000000G8Z9ZW7B36BVHVHC5,,,1020,Accepted,4/14/2023,$10.00,,unpaid,,4/14/2023,4/14/2023,This is an auto approved opportunity,,,B803269,B495891,,,,TRUE,,,a,9/12/2024,September,Q3,,,,,,,
Learner#3f8524b6-0c32-476c-9468-86e9f58855f3,Learner#000000000G8Z9ZW7B36BVHVHC5,B338530,,1010,Applied,,$0.00,,unpaid,,1/1/1970,8/23/2022,,,,B803269,B338530,,,,TRUE,,,32323,6/24/2025,June,Q2,,,,,,,
Learner#f92cd832-773d-424b-a95a-37cf4c892a35,Learner#000000000G8Z9ZW7B36BVHVHC5,B495891,,1070,Team Allocated,4/6/2023,$10.00,,unpaid,,4/10/2023,4/6/2023,This is an auto approved opportunity,,,B338530,B495891,,,,TRUE,,,I do have relevant skills and I wanted to work as a project manager,11/20/2025,November,Q4,,,,,,,
Learner#f6571b9f-96a8-4da0-8edc-9444f063b3eb,Learner#000000000G8Z9ZW7B36BVHVHC5,B495891,,1050,Dropped,#VALUE!,$0.00,,unpaid,,2/21/2023,2/21/2023,looks good,,,B803269,B495891,,,,TRUE,,,I do have relevant skills and I wanted to work as a project manager,12/18/2025,December,Q4,,,,,,2/22/2023,
Learner#,Learner#000000000G8Z9ZW7B36BVHVHC5,,$10.00,,,,,,,,6/19/2023,,,Internship,,,,,,,,,,,1/6/2026,January,Q1,,,,,,,"""ref_properties'"":'""{\'""relation_id\'"":\'""B5NQQV\'""}'""}"""
Learner#72d530e5-edca-40e6-b47f-1c1ddf06b4bf,Learner#000000000G8Z9ZW7B36BVHVHC5,B803269,,1070,Team Allocated,,$0.00,,unpaid,,1/1/1970,1/10/2023,,,,B338530,B803269,,,,TRUE,,,4324re,3/25/2026,March,Q1,,,,,,,
Learner#fc1ab387-95e3-42fd-9c6e-d519f4df2861,Learner#000000000G8Z9ZW7B36BVHVHC5,,,1020,Accepted,4/26/2023,$10.00,,unpaid,,4/26/2023,4/26/2023,This is an auto approved opportunity,,,B803269,B495891,,,,TRUE,,,Knowledge,4/8/2026,April,Q2,,,,,,,
Learner#32304640-cc9e-4f4a-a26c-098ddcafd2a7,Learner#000000000GAVWN0JWZQ8GH9RC8,B722438,,1070,Team Allocated,#VALUE!,"$2,500,000.00",,unpaid,TRUE,1/1/1970,10/26/2022,,,,,B722438,,,,,,,,,,,,,,,,,
Learner#eaa82c3b-9f4a-439a-92eb-de980d9788f4,Learner#000000000GAVWN0JWZQ8GH9RC8,B722438,,1070,Team Allocated,#VALUE!,$0.00,,unpaid,TRUE,1/1/1970,10/26/2022,,,,,B722438,,,,,,,,9/21/2023,September,Q3,,,,,,,
Learner#5a585b81-34a5-4b2c-942c-f867c371c2ac,Learner#000000000GAVWN0JWZQ8GH9RC8,B722438,,1070,Team Allocated,#VALUE!,$0.00,,unpaid,TRUE,1/1/1970,10/26/2022,,,,,B722438,,,,,,,,4/12/2024,April,Q2,,,,,,,
Learner#,Learner#000000000GAVWN0JWZQ8GH9RC8,,$100.00,,,,,,,,8/21/2023,,,Career,,,,,,,,,,,6/20/2024,June,Q2,,,,,,,"{'sk'"":'""Badge#000000000GH6SCBE0AF63EHBPT'"""
Learner#2bfd744c-da35-4991-9e7e-607f544ba80e,Learner#000000000GAVWN0JWZQ8GH9RC8,B722438,,1070,Team Allocated,,$0.00,sdsd,unpaid,TRUE,6/14/2023,1/27/2023,LGTM,,,,B722438,,,,,,,,12/12/2025,December,Q4,,,,,,,
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#000000000GAVWN0JWZQ8GH9RC8,B722438,,1070,Team Allocated,#VALUE!,$100.00,,unpaid,TRUE,3/22/2023,3/22/2023,This is an auto approved opportunity,,,,B722438,,,,,,,,12/15/2025,December,Q4,,,,,,,
Learner#72d530e5-edca-40e6-b47f-1c1ddf06b4bf,Learner#000000000GBD0AX3Z6VYRG7R75,,,1010,Applied,,$0.00,,unpaid,,1/1/1970,1/10/2023,,,,,B375816,jhj,T9YJJYH,,,manual,,,3/27/2023,March,Q1,,,,,,,
Learner#2bfd744c-da35-4991-9e7e-607f544ba80e,Learner#000000000GBD0AX3Z6VYRG7R75,,,1010,Applied,,$0.00,,unpaid,,1/1/1970,1/27/2023,,,,,B375816,Test Team,T2CFYOG,234567,TRUE,automatic,,,,,,,,,,,,
Learner#8eb7bc2a-5aa5-425c-a817-e2450cad217e,Learner#000000000GBD0AX3Z6VYRG7R75,,,1010,Applied,,$0.00,,unpaid,,1/1/1970,5/9/2023,,,,,B375816,testing,TEUO8RW,45656,TRUE,manual,,,5/16/2023,May,Q2,,,,,,,
Learner#9ef7dfaa-2608-42d3-b97f-5bdb0ca4dc33,Learner#000000000GBD0AX3Z6VYRG7R75,B375816,,1070,Team Allocated,5/4/2023,$0.00,,unpaid,,5/4/2023,5/3/2023,This is an auto approved opportunity,,,,B375816,test !23,TH8EU7O,64654,TRUE,manual,,,5/16/2023,May,Q2,,,,,,,
Learner#13fa5d1c-0ff3-4913-9e34-4b7ab8875b3d,Learner#000000000GBD0AX3Z6VYRG7R75,,,1010,Applied,,$0.00,,unpaid,,1/1/1970,5/5/2023,,,,,B375816,test xyz,TSTCVSL,64654,TRUE,manual,,,,,,,,,,,,
Learner#efe1e9f5-6c30-437b-bd00-e66018ba33e9,Learner#000000000GBD0AX3Z6VYRG7R75,B375816,,1110,Withdraw,5/4/2023,$0.00,,unpaid,,5/4/2023,5/4/2023,This is an auto approved opportunity,,,,B375816,testing bug,T24F2AJ,45656,TRUE,manual,,,6/19/2023,June,Q2,,,,,,,
Learner#214f8fe1-931e-4da8-b485-1a5633833368,Learner#000000000GBD0AX3Z6VYRG7R75,,,1010,Applied,,$0.00,,unpaid,,1/1/1970,5/1/2023,,,,,B375816,test 2,T60P9JA,45656,TRUE,manual,,,8/3/2023,August,Q3,,,,,,,
Learner#110c5be2-7daf-4dfb-be7e-c05d252ca1ff,Learner#000000000GBD0AX3Z6VYRG7R75,B375816,,1110,Withdraw,5/4/2023,$0.00,,unpaid,,5/9/2023,5/4/2023,This is an auto approved opportunity,,,,B375816,bug test,TCDC003,45656,TRUE,manual,,,10/4/2023,October,Q4,,,,,,,
Learner#4d359235-9511-4859-98ef-9eeb29844ab8,Learner#000000000GBD0AX3Z6VYRG7R75,B375816,,1110,Withdraw,5/4/2023,$0.00,,unpaid,,5/4/2023,5/3/2023,This is an auto approved opportunity,,,,B375816,test !23,TH8EU7O,45656,TRUE,manual,,,10/11/2023,October,Q4,,,,,,,
Learner#1c18f3e9-b924-437f-ac54-be0ff6969732,Learner#000000000GBD0AX3Z6VYRG7R75,B375816,$0.00,1030,Rejected,,$0.00,,unpaid,,1/1/1970,8/1/2022,,Competition,,,B375816,jaskbcjsakbs,Te0b1a2,,,manual,,,,,,,,,,,,
Learner#2f958f15-8e19-44e1-b54b-acd6ed6f0118,Learner#000000000GBD0AX3Z6VYRG7R75,B375816,$0.00,1030,Rejected,,$0.00,,unpaid,,1/1/1970,8/1/2022,,Competition,,,B375816,jaskbcjsakbs,Te0b1a2,,,manual,,,11/21/2023,November,Q4,,,,,,,
Learner#e041ca64-ab5a-4108-99a1-514eb32b806c,Learner#000000000GBD0AX3Z6VYRG7R75,,,1010,Applied,,$0.00,,unpaid,,2/22/2023,2/22/2023,,,,,B375816,tree_reff,TRVNZD4,,TRUE,automatic,,,12/19/2023,December,Q4,,,,,,,
Learner#4d95861a-bb3f-47ff-8499-230d18783ea2,Learner#000000000GBD0AX3Z6VYRG7R75,B375816,,1110,Withdraw,5/4/2023,$0.00,,unpaid,,5/4/2023,5/4/2023,This is an auto approved opportunity,,,,B375816,bug test,TCDC003,45656,TRUE,manual,,,,,,,,,,,,
